fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
250,31.15179061,-17.60699801,31.15123276,31.15234846,-17.60740988,-17.60658614,0
251,31.1528184,-17.60699801,31.15226055,31.15337625,-17.60740988,-17.60658614,0
252,31.15384619,-17.60699801,31.15328834,31.15440404,-17.60740988,-17.60658614,0
253,31.15487398,-17.60699801,31.15431612,31.15543183,-17.60740988,-17.60658614,0
254,31.15590177,-17.60699801,31.15534391,31.15645962,-17.60740988,-17.60658614,0
255,31.15692956,-17.60699801,31.1563717,31.15748741,-17.60740988,-17.60658614,0
256,31.15795735,-17.60699801,31.15739949,31.1585152,-17.60740988,-17.60658614,0
257,31.15898514,-17.60699801,31.15842728,31.159543,-17.60740988,-17.60658614,0
258,31.16001292,-17.60699801,31.15945506,31.16057079,-17.60740988,-17.60658614,0
259,31.16104071,-17.60699801,31.16048285,31.16159858,-17.60740988,-17.60658614,0
260,31.1620685,-17.60699801,31.16151064,31.16262637,-17.60740988,-17.60658614,0
261,31.16309629,-17.60699801,31.16253843,31.16365416,-17.60740988,-17.60658614,0
262,31.16412408,-17.60699801,31.16356622,31.16468195,-17.60740988,-17.60658614,0
263,31.16515187,-17.60699801,31.16459401,31.16570974,-17.60740988,-17.60658614,0
264,31.16617966,-17.60699801,31.16562179,31.16673753,-17.60740988,-17.60658614,0
265,31.16720745,-17.60699801,31.16664958,31.16776532,-17.60740988,-17.60658614,0
266,31.16823524,-17.60699801,31.16767737,31.16879312,-17.60740988,-17.60658614,0
267,31.16926303,-17.60699801,31.16870516,31.16982091,-17.60740988,-17.60658614,0
268,31.17029082,-17.60699801,31.16973295,31.1708487,-17.60740988,-17.60658614,0
269,31.17131861,-17.60699801,31.17076073,31.17187649,-17.60740988,-17.60658614,0
270,31.1723464,-17.60699801,31.17178852,31.17290428,-17.60740988,-17.60658614,0
271,31.14262839,-17.60782175,31.14207055,31.14318623,-17.60823362,-17.60740988,0
272,31.14365618,-17.60782175,31.14309834,31.14421402,-17.60823362,-17.60740988,0
273,31.14468397,-17.60782175,31.14412613,31.14524181,-17.60823362,-17.60740988,0
274,31.14571176,-17.60782175,31.14515392,31.14626961,-17.60823362,-17.60740988,0
275,31.14673956,-17.60782175,31.14618171,31.1472974,-17.60823362,-17.60740988,0
276,31.14776735,-17.60782175,31.1472095,31.1483252,-17.60823362,-17.60740988,0
277,31.14879514,-17.60782175,31.14823729,31.14935299,-17.60823362,-17.60740988,0
278,31.14982293,-17.60782175,31.14926508,31.15038078,-17.60823362,-17.60740988,0
279,31.15085073,-17.60782175,31.15029288,31.15140858,-17.60823362,-17.60740988,0
280,31.15187852,-17.60782175,31.15132067,31.15243637,-17.60823362,-17.60740988,0
281,31.15290631,-17.60782175,31.15234846,31.15346417,-17.60823362,-17.60740988,0
282,31.1539341,-17.60782175,31.15337625,31.15449196,-17.60823362,-17.60740988,0
283,31.1549619,-17.60782175,31.15440404,31.15551975,-17.60823362,-17.60740988,0
284,31.15598969,-17.60782175,31.15543183,31.15654755,-17.60823362,-17.60740988,0
285,31.15701748,-17.60782175,31.15645962,31.15757534,-17.60823362,-17.60740988,0
286,31.15804527,-17.60782175,31.15748741,31.15860314,-17.60823362,-17.60740988,0
287,31.15907307,-17.60782175,31.1585152,31.15963093,-17.60823362,-17.60740988,0
288,31.16010086,-17.60782175,31.159543,31.16065873,-17.60823362,-17.60740988,0
289,31.16112865,-17.60782175,31.16057079,31.16168652,-17.60823362,-17.60740988,0
290,31.16215644,-17.60782175,31.16159858,31.16271431,-17.60823362,-17.60740988,0
291,31.16318424,-17.60782175,31.16262637,31.16374211,-17.60823362,-17.60740988,0
292,31.16421203,-17.60782175,31.16365416,31.1647699,-17.60823362,-17.60740988,0
293,31.16523982,-17.60782175,31.16468195,31.1657977,-17.60823362,-17.60740988,0
294,31.16626761,-17.60782175,31.16570974,31.16682549,-17.60823362,-17.60740988,0
295,31.16729541,-17.60782175,31.16673753,31.16785328,-17.60823362,-17.60740988,0
296,31.1683232,-17.60782175,31.16776532,31.16888108,-17.60823362,-17.60740988,0
297,31.16935099,-17.60782175,31.16879312,31.16990887,-17.60823362,-17.60740988,0
298,31.17037879,-17.60782175,31.16982091,31.17093667,-17.60823362,-17.60740988,0
299,31.17140658,-17.60782175,31.1708487,31.17196446,-17.60823362,-17.60740988,0
300,31.17243437,-17.60782175,31.17187649,31.17299225,-17.60823362,-17.60740988,0
301,31.12216037,-17.6086455,31.12160255,31.12271818,-17.60905737,-17.60823362,0
302,31.12318816,-17.6086455,31.12263035,31.12374598,-17.60905737,-17.60823362,0
303,31.12421596,-17.6086455,31.12365814,31.12477378,-17.60905737,-17.60823362,0
304,31.12524375,-17.6086455,31.12468593,31.12580157,-17.60905737,-17.60823362,0
305,31.12627155,-17.6086455,31.12571373,31.12682937,-17.60905737,-17.60823362,0
306,31.12729934,-17.6086455,31.12674152,31.12785717,-17.60905737,-17.60823362,0
307,31.12832714,-17.6086455,31.12776932,31.12888496,-17.60905737,-17.60823362,0
308,31.12935494,-17.6086455,31.12879711,31.12991276,-17.60905737,-17.60823362,0
309,31.13038273,-17.6086455,31.1298249,31.13094056,-17.60905737,-17.60823362,0
310,31.13141053,-17.6086455,31.1308527,31.13196835,-17.60905737,-17.60823362,0
311,31.13243832,-17.6086455,31.13188049,31.13299615,-17.60905737,-17.60823362,0
312,31.13346612,-17.6086455,31.13290829,31.13402395,-17.60905737,-17.60823362,0
313,31.13449391,-17.6086455,31.13393608,31.13505175,-17.60905737,-17.60823362,0
