fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
122640,-0.060546697,5.642629973,-0.061047109,-0.060046285,5.642224836,5.64303511,0
124701,-0.287720914,5.63938888,-0.288221422,-0.287220406,5.638983744,5.639794016,0
181360,-0.193630478,5.550261523,-0.194130897,-0.193130059,5.54985641,5.550666635,0
205026,-0.537833391,5.498407986,-0.538333927,-0.537332855,5.498002887,5.498813085,0
213314,-0.459772683,5.472481867,-0.460273172,-0.459272194,5.472076775,5.472886959,0
194843,-0.350726259,5.522714115,-0.351226729,-0.350225788,5.522309009,5.52311922,0
133256,-0.222668093,5.627234843,-0.223168567,-0.22216762,5.626829709,5.627639975,0
96854,-0.166635143,5.679903043,-0.167135621,-0.166134665,5.679497896,5.68030819,0
88722,-0.218680199,5.692057505,-0.219180707,-0.218179692,5.691652354,5.692462655,0
43223,-0.177660696,5.766607029,-0.178161227,-0.177160165,5.766201859,5.7670122,0
167025,-0.198639082,5.575378707,-0.199139518,-0.198138648,5.574973588,5.575783826,0
138998,-0.020515311,5.619132205,-0.021015693,-0.020014929,5.618727074,5.619537336,0
33965,-0.025523559,5.783624293,-0.026024032,-0.025023086,5.783219117,5.784029468,0
155179,-0.109578967,5.594824551,-0.110079375,-0.10907856,5.594419427,5.595229675,0
116972,-0.028522244,5.650732736,-0.029022646,-0.028021841,5.650327597,5.651137875,0
24063,-0.347827823,5.801452112,-0.348328449,-0.347327197,5.801046932,5.801857292,0
63851,-0.179655719,5.731762766,-0.180156232,-0.179155207,5.731357605,5.732167927,0
197359,-0.434777917,5.517042651,-0.43527842,-0.434277414,5.516637547,5.517447754,0
147616,-0.292714446,5.606168075,-0.293214938,-0.292213954,5.605762947,5.606573202,0
74814,-0.206675166,5.713935784,-0.20717568,-0.206174651,5.713530627,5.71434094,0
113037,0.026520843,5.656404696,0.026020439,0.027021248,5.655999555,5.656809837,0
127287,0.018514152,5.636147794,0.018013761,0.019014542,5.635742658,5.636552929,0
76479,-0.05154355,5.711504848,-0.052043996,-0.051043105,5.711099692,5.711910003,0
156010,-0.298714756,5.593204055,-0.299215243,-0.298214269,5.592798931,5.593609179,0
68564,0.05354599,5.724469884,0.053045537,0.054046444,5.724064724,5.724875043,0
181049,-0.504840187,5.550261523,-0.505340738,-0.504339636,5.54985641,5.550666635,0
3822,-0.148648298,5.851695313,-0.149148864,-0.148147733,5.851290119,5.852100507,0
29000,-0.160649846,5.792538176,-0.161150384,-0.160149308,5.792132998,5.792943353,0
